pair_id,algo,x,y
13,RRT,32.53,35.64
13,RRT,29.58,36.15
13,RRT,26.93,37.56
13,RRT,25.31,40.09
13,RRT,24.63,43.01
13,RRT,27.35,44.27
13,RRT,26.33,47.09
13,RRT,25.4,49.94
13,RRT,22.57,50.96
13,RRT,22.99,53.93
13,RRT,22.72,55.97
13,RRT,23.45,58.88
13,RRT,23.57,61.88
13,RRT,21.59,64.13
13,RRT,20.5,66.93
13,RRT,23.05,68.52
13,RRT,25.83,69.64
13,RRT,28.43,71.13
13,RRT,30.88,72.86
13,RRT,32.89,75.09
13,RRT,35.79,75.88
13,RRT,38.68,76.67
13,RRT,41.08,74.87
13,RRT,43.81,76.11
13,RRT,46.64,75.11
13,RRT,47.47,72.23
13,RRT,50.46,72.5
13,RRT,53.18,73.76
13,RRT,55.87,75.09
13,RRT,58.12,73.1
13,RRT,60.67,74.67
13,RRT,63.61,75.28
13,RRT,66.26,76.68
13,RRT,68.88,75.21
13,RRT,71.88,75.25
13,RRT,74.23,73.39
13,RRT,77.18,73.98
13,RRT,78.42,76.71
13,RRT,79.66,79.44
13,RRT,82.65,79.68
13,RRT,83.08,82.65
13,RRT,80.46,84.3
13,RRT,82.27,86.7
13,RRT,84.0,89.0
14,RRT,11.0,56.0
14,RRT,13.56,57.56
14,RRT,15.47,55.25
14,RRT,18.17,56.55
14,RRT,18.29,59.55
14,RRT,17.65,62.48
14,RRT,20.43,63.6
14,RRT,22.32,65.93
14,RRT,24.62,67.85
14,RRT,26.97,69.73
14,RRT,29.89,69.08
14,RRT,32.81,69.77
14,RRT,35.65,68.79
14,RRT,38.53,69.65
14,RRT,40.49,71.92
14,RRT,43.33,70.95
14,RRT,46.33,70.83
14,RRT,47.8,73.45
14,RRT,48.55,76.35
14,RRT,51.34,77.46
14,RRT,50.47,80.33
14,RRT,49.59,83.2
14,RRT,48.72,86.07
14,RRT,46.68,88.27
14,RRT,46.38,91.25
14,RRT,46.08,94.24
14,RRT,46.0,95.0
15,RRT,57.0,15.0
15,RRT,58.52,17.59
15,RRT,56.23,19.53
15,RRT,56.36,22.52
15,RRT,53.37,22.74
15,RRT,50.49,21.91
15,RRT,47.78,20.61
15,RRT,45.37,22.39
15,RRT,42.43,21.81
15,RRT,41.13,24.52
15,RRT,40.91,27.51
15,RRT,38.11,28.57
15,RRT,37.65,31.54
15,RRT,38.9,34.26
15,RRT,36.15,35.48
15,RRT,34.12,37.68
15,RRT,33.62,40.64
15,RRT,30.98,42.06
15,RRT,31.86,44.93
15,RRT,31.71,47.92
15,RRT,30.18,50.51
15,RRT,32.16,52.76
15,RRT,34.74,51.24
15,RRT,36.58,53.61
15,RRT,39.5,54.29
15,RRT,41.23,56.74
15,RRT,40.95,59.73
15,RRT,40.07,62.6
15,RRT,42.85,63.74
15,RRT,44.98,65.86
15,RRT,47.6,67.31
15,RRT,49.41,69.7
15,RRT,48.64,72.6
15,RRT,47.98,75.52
15,RRT,50.28,77.46
15,RRT,50.64,80.43
15,RRT,53.56,81.12
15,RRT,56.35,82.21
15,RRT,59.15,81.13
15,RRT,60.72,83.69
15,RRT,58.77,86.56
15,RRT,61.49,87.83
15,RRT,64.0,89.0
16,RRT,92.0,52.0
16,RRT,89.49,53.64
16,RRT,86.86,55.09
16,RRT,84.06,56.17
16,RRT,82.71,53.49
16,RRT,80.53,51.44
16,RRT,77.64,50.62
16,RRT,77.6,47.62
16,RRT,76.31,44.91
16,RRT,73.48,43.93
16,RRT,70.6,43.09
16,RRT,68.58,40.87
16,RRT,65.83,39.66
16,RRT,63.33,41.31
16,RRT,60.36,41.71
16,RRT,58.49,44.06
16,RRT,55.8,42.74
16,RRT,52.81,42.86
16,RRT,50.61,40.82
16,RRT,47.62,40.66
16,RRT,44.62,40.53
16,RRT,41.65,40.94
16,RRT,38.65,40.95
16,RRT,35.66,40.68
16,RRT,32.68,40.35
16,RRT,29.98,41.65
16,RRT,28.92,44.46
16,RRT,28.17,47.37
16,RRT,26.5,49.86
16,RRT,23.91,51.37
16,RRT,23.57,54.35
16,RRT,23.09,57.32
16,RRT,22.13,60.16
16,RRT,19.15,60.49
16,RRT,19.13,63.49
16,RRT,17.86,66.2
16,RRT,17.98,69.2
16,RRT,18.1,72.2
16,RRT,18.23,75.2
16,RRT,18.35,78.19
16,RRT,21.05,79.49
16,RRT,20.63,82.47
16,RRT,21.64,85.29
16,RRT,20.5,88.07
16,RRT,19.76,90.98
16,RRT,19.0,94.0
16,RRT,19.0,94.0
17,RRT,9.0,43.0
17,RRT,11.3,41.08
17,RRT,14.19,40.25
17,RRT,17.16,40.62
17,RRT,19.34,38.56
17,RRT,22.32,38.92
17,RRT,25.04,40.19
17,RRT,27.75,38.9
17,RRT,29.49,36.46
17,RRT,32.09,37.96
17,RRT,34.31,39.97
17,RRT,34.7,42.95
17,RRT,37.68,42.59
17,RRT,40.67,42.8
17,RRT,42.68,45.03
17,RRT,42.7,48.03
17,RRT,43.6,50.89
17,RRT,46.2,52.38
17,RRT,48.34,54.48
17,RRT,51.34,54.3
17,RRT,54.01,52.94
17,RRT,56.93,52.23
17,RRT,58.82,54.55
17,RRT,59.5,57.48
17,RRT,62.07,56.71
17,RRT,64.4,58.61
17,RRT,65.73,61.3
17,RRT,68.34,62.78
17,RRT,71.33,62.52
17,RRT,73.09,64.94
17,RRT,73.04,67.94
17,RRT,74.57,70.52
17,RRT,74.13,73.49
17,RRT,77.36,73.53
17,RRT,80.19,74.5
17,RRT,81.72,77.08
17,RRT,83.62,79.4
17,RRT,82.39,82.14
